#1                   																			
double wetter (8760, 20)																			
370800	13	1	1	5	8	2	100	1	-4.5	981	2.5	91	-1	0	0	9	212	-290	9
374400	13	1	1	5	9	1	100	1	-4	981.7	2.6	90	-1	26	34	9	214	-292	9
378000	13	1	1	5	10	3	100	1	-1.4	981.8	3.1	89	-1	60	102	9	231	-304	9
381600	13	1	1	5	11	4	110	1	2.2	981.8	3.5	77	-1	77	148	9	254	-321	9
385200	13	1	1	5	12	4	230	1	3.9	981.9	3.8	75	-1	92	165	9	263	-329	9
388800	13	1	1	5	13	3	270	1	5	981.1	3.9	70	-1	109	151	9	264	-334	9
392400	13	1	1	5	14	3	280	3	6.8	980.5	3.5	57	-1	80	125	9	274	-343	9
396000	13	1	1	5	15	2	280	5	6.6	980.1	3.6	58	-1	46	70	9	271	-342	9
399600	13	1	1	5	16	6	270	2	4.8	980.2	3.9	71	-1	1	6	9	291	-335	9
403200	13	1	1	5	17	7	260	2	3.8	980.4	4.2	82	61	0	0	9	300	-331	9
406800	13	1	1	5	18	8	250	1	3.7	979.9	4.1	81	21	0	0	9	263	-328	9
410400	13	1	1	5	19	8	260	1	4	979.6	4.1	80	2	0	0	9	291	-332	9
414000	13	1	1	5	20	7	290	0	3.8	979.3	4	80	0	0	0	9	290	-331	9
417600	13	1	1	5	21	8	280	0	3.5	978.9	4.1	82	61	0	0	9	288	-329	9
421200	13	1	1	5	22	8	220	0	3.2	978.3	4.1	84	61	0	0	9	287	-328	9
424800	13	1	1	5	23	8	260	1	3.2	978.3	4.1	85	21	0	0	9	287	-328	9
428400	13	1	1	5	24	7	240	2	3.3	977.3	3.9	80	0	0	0	9	261	-326	9
432000	13	1	1	6	1	8	190	0	3.5	976.4	4.4	87	21	0	0	9	288	-329	9
435600	13	1	1	6	2	8	290	1	3	975.7	4.2	88	61	0	0	9	286	-327	9
439200	13	1	1	6	3	8	260	3	5.8	975.1	5.5	93	21	0	0	9	299	-340	9
442800	13	1	1	6	4	8	260	3	7.2	974.4	5.4	83	61	0	0	9	320	-348	9
446400	13	1	1	6	5	8	260	5	7.1	973.9	5.6	86	61	0	0	9	306	-347	9
450000	13	1	1	6	6	8	270	6	7.6	974.2	5.4	82	21	0	0	9	338	-351	9
453600	13	1	1	6	7	8	280	9	7.4	975.8	5.6	85	63	0	0	9	337	-350	9
457200	13	1	1	6	8	8	280	6	6.1	977	5.2	86	61	0	0	9	288	-341	9
460800	13	1	1	6	9	7	280	8	6.2	978.3	5.5	91	61	4	28	9	287	-341	9
464400	13	1	1	6	10	7	270	7	6.7	979.4	5.3	85	21	12	77	9	316	-346	9
468000	13	1	1	6	11	7	270	5	6.4	980.7	5.5	89	63	19	111	9	314	-344	9
471600	13	1	1	6	12	7	280	6	6.8	981.5	5.1	82	21	23	126	9	316	-346	9
