#1
double table(35041,2)
# Time[s]	Q_flow[W]
     1161900	       10891
     1162800	        9681
     1163700	       10891
     1164600	       12101
     1165500	       10891
     1166400	        9681
     1167300	       12101
     1168200	       14521
     1169100	       13311
     1170000	        7261
     1170900	        9681
     1171800	       15732
     1172700	       15732
     1173600	       15732
     1174500	       15732
     1175400	       15732
     1176300	       14521
     1177200	       12101
     1178100	       12101
     1179000	       14521
     1179900	       13311
     1180800	        9681
     1181700	        8471
     1182600	       13311
     1183500	       15732
     1184400	       14521
     1185300	       13311
     1186200	       15732
     1187100	       15732
     1188000	       12101
     1188900	       12101
     1189800	       13311
     1190700	       14521
     1191600	       12101
     1192500	       13311
     1193400	       13311
     1194300	        8471
     1195200	       10891
     1196100	       14521
     1197000	       14521
     1197900	       14521
     1198800	       15732
     1199700	       15732
     1200600	       13311
     1201500	       13311
     1202400	       13311
     1203300	        9681
     1204200	        7261
     1205100	        9681
     1206000	        9681
     1206900	        8471
     1207800	        6051
     1208700	        3630
     1209600	        6051
     1210500	        9681
     1211400	       12101
     1212300	        8471
     1213200	        6051
     1214100	        8471
     1215000	        7261
     1215900	        7261
     1216800	        9681
     1217700	        9681
     1218600	        6051
     1219500	        3630
     1220400	        8471
     1221300	       10891
     1222200	        9681
     1223100	        9681
     1224000	        7261
     1224900	        7261
     1225800	        9681
     1226700	        8471
     1227600	        8471
     1228500	        9681
     1229400	        4840
     1230300	        3630
     1231200	        8471
     1232100	       10891
     1233000	        9681
     1233900	        9681
     1234800	        9681
     1235700	        8471
     1236600	        8471
     1237500	        8471
     1238400	        8471
     1239300	        9681
     1240200	        9681
     1241100	        4840
     1242000	        6051
     1242900	       10891
     1243800	       12101
     1244700	       10891
     1245600	        9681
     1246500	       10891
     1247400	       14521
     1248300	       15732
     1249200	       18152
     1250100	       18152
     1251000	       13311
     1251900	       13311
     1252800	       10891
     1253700	        9681
     1254600	       12101
     1255500	       10891
     1256400	        8471
     1257300	       10891
     1258200	       18152
     1259100	       18152
     1260000	       21782
     1260900	       25413
     1261800	       20572
     1262700	       19362
     1263600	       16942
     1264500	       14521
     1265400	       15732
     1266300	       16942
     1267200	       16942
     1268100	       15732
     1269000	       13311
     1269900	       15732
     1270800	       15732
     1271700	       13311
     1272600	       14521
     1273500	       13311
     1274400	        9681
     1275300	        7261
     1276200	        9681
     1277100	       10891
     1278000	       10891
     1278900	       12101
     1279800	       13311
     1280700	        7261
     1281600	        7261
     1282500	       15732
     1283400	       15732
     1284300	       15732
     1285200	       21782
     1286100	       20572
     1287000	       15732
     1287900	       15732
     1288800	       13311
     1289700	       13311
     1290600	        9681
     1291500	        7261
     1292400	        8471
     1293300	        9681
     1294200	       12101
     1295100	        8471
     1296000	        7261
     1296900	       12101
     1297800	       15732
     1298700	       14521
     1299600	       13311
     1300500	       12101
     1301400	        9681
     1302300	        8471
     1303200	        7261
     1304100	        6051
     1305000	        7261
     1305900	        8471
     1306800	       12101
     1307700	       12101
     1308600	        9681
     1309500	       10891
     1310400	        8471
     1311300	        8471
     1312200	        8471
     1313100	        8471
     1314000	        8471
     1314900	        7261
     1315800	        8471
     1316700	        8471
     1317600	        8471
     1318500	        8471
     1319400	        7261
     1320300	        7261
     1321200	        7261
     1322100	        8471
     1323000	        9681
     1323900	        8471
     1324800	        6051
     1325700	        8471
     1326600	       10891
     1327500	        8471
     1328400	        9681
     1329300	        8471
     1330200	        7261
     1331100	        9681
     1332000	       12101
     1332900	       12101
     1333800	        7261
     1334700	        6051
     1335600	       12101
     1336500	       15732
     1337400	       15732
     1338300	       22992
     1339200	       25413
     1340100	       19362
     1341000	       15732
     1341900	       14521
     1342800	       14521
     1343700	       12101
     1344600	       10891
     1345500	       10891
     1346400	       10891
     1347300	       12101
     1348200	        8471
     1349100	        9681
     1350000	       15732
     1350900	       20572
     1351800	       25413
     1352700	       25413
     1353600	       20572
     1354500	       18152
     1355400	       16942
     1356300	       14521
     1357200	       14521
     1358100	       14521
     1359000	       15732
     1359900	       15732
     1360800	       10891
     1361700	        9681
     1362600	       10891
     1363500	        9681
     1364400	       10891
     1365300	       13311
     1366200	       13311
     1367100	        8471
     1368000	        9681
     1368900	       15732
     1369800	       16942
     1370700	       15732
     1371600	       15732
     1372500	       15732
     1373400	       12101
     1374300	       13311
     1375200	       16942
     1376100	       13311
     1377000	       13311
     1377900	       14521
     1378800	       12101
     1379700	       12101
     1380600	       10891
     1381500	        9681
     1382400	       12101
     1383300	       15732
     1384200	       16942
     1385100	       15732
     1386000	       14521
     1386900	       13311
     1387800	       13311
     1388700	       15732
     1389600	       12101
     1390500	       10891
     1391400	       14521
     1392300	       14521
     1393200	       13311
     1394100	       13311
     1395000	       14521
     1395900	       13311
     1396800	       10891
     1397700	        7261
     1398600	        9681
     1399500	       16942
     1400400	       15732
     1401300	       14521
     1402200	       14521
     1403100	       13311
     1404000	       13311
     1404900	       14521
     1405800	       14521
     1406700	       13311
     1407600	       13311
     1408500	        7261
     1409400	        9681
     1410300	       18152
     1411200	       20572
     1412100	       22992
     1413000	       22992
     1413900	       20572
     1414800	       20572
     1415700	       14521
     1416600	        9681
     1417500	       10891
     1418400	       10891
     1419300	       13311
     1420200	       10891
     1421100	        8471
     1422000	       14521
     1422900	       19362
     1423800	       24202
     1424700	       27833
     1425600	       22992
     1426500	       19362
     1427400	       18152
     1428300	       16942
     1429200	       15732
     1430100	       15732
     1431000	       18152
     1431900	       15732
     1432800	       14521
     1433700	       16942
     1434600	       16942
     1435500	       16942
     1436400	       18152
     1437300	       18152
     1438200	       16942
     1439100	       16942
     1440000	       15732
     1440900	       15732
     1441800	       15732
     1442700	       14521
     1443600	       15732
     1444500	       15732
     1445400	       14521
     1446300	       14521
     1447200	       14521
     1448100	       13311
     1449000	       10891
     1449900	        9681
     1450800	       10891
     1451700	       12101
     1452600	       10891
     1453500	       12101
     1454400	       14521
     1455300	       14521
     1456200	        8471
     1457100	        8471
     1458000	       16942
     1458900	       16942
     1459800	       20572
     1460700	       24202
     1461600	       19362
     1462500	       16942
     1463400	       14521
     1464300	       13311
     1465200	       10891
     1466100	        8471
     1467000	        9681
     1467900	       10891
     1468800	       10891
     1469700	       10891
     1470600	       13311
     1471500	       13311
     1472400	       13311
     1473300	       13311
     1474200	       14521
     1475100	       13311
     1476000	       12101
     1476900	       14521
     1477800	       13311
     1478700	       13311
     1479600	       14521
     1480500	       13311
     1481400	       12101
     1482300	       14521
     1483200	       14521
     1484100	       13311
     1485000	       14521
     1485900	       14521
     1486800	        8471
     1487700	        7261
     1488600	       16942
     1489500	       18152
     1490400	       15732
     1491300	       14521
     1492200	       10891
     1493100	       13311
     1494000	       14521
     1494900	       13311
     1495800	       15732
     1496700	       14521
     1497600	       14521
     1498500	       14521
